year,dates,stages,stages_observations,distance_in_km,starters,finishers,abandon_rate,total_workload,actual_stages_count,mountain_count,mountain_percentage,avg speed,daily_intensity
1903,De 01/07 a 19/07,6,,2428.0,60,21,0.65,784.8,6,1,16.666666666666664,25.7,130.79999999999998
1904,De 02/07 a 24/07,6,,2428.0,88,15,0.83,785.0,6,1,16.666666666666664,25.3,130.83333333333334
1905,De 09/07 a 30/07,11,,2994.0,60,24,0.6,1121.8,11,2,18.181818181818183,,101.98181818181818
1906,De 04/07 a 29/07,13,,4637.0,82,14,0.83,1517.4,13,2,15.384615384615385,,116.72307692307693
1907,De 08/07 a 04/08,14,,4488.0,93,33,0.65,1876.8,14,4,28.57142857142857,,134.05714285714285
1908,De 13/07 a 09/08,14,,4497.0,112,36,0.68,1878.6,14,4,28.57142857142857,,134.18571428571428
1909,De 05/07 a 01/08,14,,4498.0,150,55,0.63,1879.4,14,4,28.57142857142857,,134.24285714285716
1910,De 03/07 a 31/07,15,,4734.0,110,41,0.63,2418.0,15,6,40.0,,161.2
1911,De 02/07 a 30/07,15,,5343.0,84,28,0.67,2939.2,15,7,46.666666666666664,,195.94666666666666
1912,De 30/06 a 28/07,15,,5289.0,131,41,0.69,2914.2,15,7,46.666666666666664,,194.28
1913,De 29/06 a 27/07,15,,5287.0,140,25,0.82,2936.8,15,7,46.666666666666664,26.7,195.7866666666667
1914,De 28/06 a 26/07,15,,5380.0,145,54,0.63,2905.6,15,7,46.666666666666664,26.8,193.70666666666665
1919,De 29/06 a 27/07,15,,5560.0,69,10,0.86,2724.8,15,6,40.0,24.1,181.65333333333334
1920,De 27/06 a 27/07,15,,5503.0,113,22,0.81,2460.6,15,5,33.33333333333333,24.1,164.04
1921,De 26/06 a 24/07,15,,5485.0,123,38,0.69,2360.2,15,5,33.33333333333333,24.7,157.34666666666666
1922,De 25/06 a 23/07,15,,5375.0,121,38,0.69,2248.2,15,5,33.33333333333333,24.2,149.88
1923,De 24/06 a 22/07,15,,5386.0,139,48,0.65,2251.2,15,5,33.33333333333333,24.2,150.07999999999998
1924,De 22/06 a 20/07,15,,5425.0,157,60,0.62,2581.8,15,6,40.0,24.0,172.12
1925,De 21/06 a 19/07,18,,5440.0,130,49,0.62,2590.0,18,6,33.33333333333333,24.8,143.88888888888889
1926,De 20/06 a 18/07,17,,5745.0,126,41,0.67,2130.6,17,4,23.52941176470588,24.1,125.32941176470588
1927,De 19/06 a 17/07,24,,5398.0,142,39,0.73,2781.6,24,5,20.833333333333336,27.2,115.89999999999999
1928,De 17/06 a 15/07,22,,5476.0,162,41,0.75,3032.8,22,5,22.727272727272727,28.4,137.85454545454547
1929,De 30/06 a 28/07,22,,5286.0,155,60,0.61,2586.8,22,6,27.27272727272727,28.3,117.58181818181819
1930,De 02/07 a 27/07,21,,4822.0,100,59,0.41,2268.4,21,6,28.57142857142857,28.0,108.01904761904763
1931,De 30/06 a 26/07,24,,5091.0,81,35,0.57,2575.0,24,9,37.5,28.7,107.29166666666667
1932,De 06/07 a 31/07,21,,4479.0,80,57,0.29,2298.4,21,8,38.095238095238095,29.0,109.44761904761906
1933,De 27/06 a 23/07,23,,4395.0,80,40,0.5,2483.2,23,11,47.82608695652174,29.7,107.96521739130434
1934,De 03/07 a 29/07,24,", including one split stage",4470.0,60,39,0.35,2141.2,24,9,37.5,30.4,89.21666666666665
1935,De 04/07 a 28/07,27,", including six split stages",4338.0,93,46,0.51,2315.4,27,8,29.629629629629626,30.7,85.75555555555556
1936,De 07/07 a 02/08,26,", including five split stages",4442.0,90,43,0.52,2388.4,27,8,29.629629629629626,31.1,88.45925925925927
1937,De 30/06 a 25/07,28,", including eight split stages",4415.0,98,46,0.53,2313.4,31,9,29.03225806451613,31.8,74.6258064516129
1938,De 05/07 a 31/07,26,", including five split stages",4694.0,96,55,0.43,2204.6,29,6,20.689655172413794,31.6,76.0206896551724
1939,De 10/07 a 30/07,26,", including eight split stages",4224.0,79,49,0.38,1770.2,28,6,21.428571428571427,32.0,63.221428571428575
1947,De 25/06 a 20/07,21,,4642.0,99,53,0.46,2003.2,21,6,28.57142857142857,31.3,95.39047619047619
1948,De 30/06 a 25/07,21,,4922.0,120,44,0.63,2381.2,21,7,33.33333333333333,33.4,113.39047619047618
1949,De 30/06 a 24/07,21,,4808.0,120,55,0.54,2126.8,21,6,28.57142857142857,32.1,101.27619047619048
1950,De 13/07 a 07/08,22,,4773.0,116,51,0.56,2037.6000000000001,22,7,31.818181818181817,32.8,92.61818181818182
1951,De 04/07 a 29/07,24,,4690.0,123,66,0.46,2613.6,24,10,41.66666666666667,32.9,108.89999999999999
1952,De 25/06 a 19/07,23,,4898.0,122,78,0.36,2586.6,23,9,39.130434782608695,32.2,112.4608695652174
1953,De 03/07 a 26/07,22,,4476.0,119,76,0.36,2131.8,22,8,36.36363636363637,34.6,96.9
1954,De 08/07 a 01/08,23,,4656.0,110,69,0.37,2507.96,25,9,36.0,33.2,100.3184
1955,De 07/07 a 30/07,22,,4495.0,130,69,0.47,2186.76,23,7,30.434782608695656,34.4,95.07652173913044
1956,De 05/07 a 28/07,22,,4498.0,120,88,0.27,2267.06,23,8,34.78260869565217,36.3,98.56782608695652
1957,De 27/06 a 20/07,22,,4669.0,120,56,0.53,2296.48,24,7,29.166666666666668,34.4,95.68666666666667
1958,De 26/06 a 19/07,24,,4319.0,120,78,0.35,1995.8,24,8,33.33333333333333,36.9,83.15833333333333
1959,De 25/06 a 18/07,22,,4358.0,120,65,0.46,2121.4,22,8,36.36363636363637,35.2,96.42727272727274
1960,De 26/06 a 17/07,22,", including one split stages",4173.0,128,81,0.37,2146.68,22,8,36.36363636363637,37.2,97.57636363636362
1961,De 25/06 a 16/07,22,", including one split stage",4397.0,132,72,0.45,2481.9,22,9,40.909090909090914,36.0,112.81363636363636
1962,De 24/06 a 15/07,24,", including two split stages",4274.0,149,94,0.37,1613.3,24,5,20.833333333333336,37.3,67.22083333333333
1963,De 23/06 a 14/07,23,", including two split stages",4138.0,130,76,0.42,1889.2,23,7,30.434782608695656,36.5,82.13913043478261
1964,De 22/06 a 14/07,25,", including three split stages",4504.0,132,81,0.39,2106.2,25,7,28.000000000000004,35.4,84.24799999999999
1965,De 22/06 a 14/07,24,", including two split stages",4188.0,130,96,0.26,2119.6,24,9,37.5,35.9,88.31666666666666
1966,De 21/06 a 14/07,25,", including three split stages",4329.0,130,82,0.37,2182.0,25,8,32.0,36.8,87.28
1967,De 29/06 a 23/07,25,"+ Prologue, including two split stages",4779.0,130,88,0.32,2556.825,25,9,36.0,34.9,102.273
1968,De 27/06 a 21/07,26,", including four split stages",4492.0,110,63,0.43,2230.28,26,7,26.923076923076923,33.6,85.78
1969,De 28/06 a 20/07,26,"+ Prologue, including three split stages",4117.0,130,86,0.34,2462.4,26,11,42.30769230769231,35.4,94.70769230769231
1970,De 27/06 a 19/07,29,"+ Prologue, including five split stages",4254.0,150,100,0.33,2133.7400000000002,29,8,27.586206896551722,35.6,73.57724137931035
1971,De 26/06 a 18/07,24,"+ Prologue, including three split stages",3608.0,130,94,0.28,1761.51,25,10,40.0,37.3,70.46039999999999
1972,De 01/07 a 22/07,25,"+ Prologue, including four split stages",3846.0,132,88,0.33,2063.77,25,11,44.0,35.5,82.5508
1973,De 30/06 a 22/07,27,"+ Prologue, including six split stages",4090.0,132,87,0.34,2553.24,27,11,40.74074074074074,33.4,94.56444444444443
1974,De 27/06 a 21/07,27,"+ Prologue, including four split stages",4098.0,130,105,0.19,2042.2,27,8,29.629629629629626,35.2,75.63703703703703
1975,De 26/06 a 20/07,25,"+ Prologue, including two split stages",4000.0,140,86,0.39,2101.8,25,8,32.0,34.9,84.072
1976,De 24/06 a 18/07,26,"+ Prologue, including three split stages",4017.0,130,87,0.33,2330.4,27,10,37.03703703703704,34.5,86.31111111111112
1977,De 30/06 a 24/07,28,"+ Prologue, including five split stages",4096.0,100,53,0.47,2444.6,28,10,35.714285714285715,35.4,87.30714285714285
1978,De 29/06 a 23/07,25,"+ Prologue, including two split stages",3908.0,110,78,0.29,1727.5,25,6,24.0,36.1,69.1
1979,De 27/06 a 22/07,25,+ Prologue,3765.0,150,89,0.41,1660.0,25,6,24.0,36.5,66.4
1980,De 26/06 a 20/07,25,"+ Prologue, including two split stages",3842.0,130,85,0.35,1613.2,25,5,20.0,35.1,64.528
1981,De 25/06 a 19/07,25,"+ Prologue, including two split stages",3753.0,150,121,0.19,1530.8,25,6,24.0,39.0,61.232
1982,De 02/07 a 25/07,23,"+ Prologue, including one split stage",3507.0,169,125,0.26,1669.3,23,6,26.08695652173913,38.1,72.57826086956521
1983,De 01/07 a 24/07,23,+ Prologue,3809.0,140,88,0.37,1714.3,23,7,30.434782608695656,36.2,74.53478260869565
1984,De 29/06 a 22/07,24,+ Prologue,4021.0,170,124,0.27,2077.4,24,9,37.5,35.9,86.55833333333334
1985,De 28/06 a 21/07,24,"+ Prologue, including one split stage",4109.0,180,144,0.2,1870.1000000000001,24,8,33.33333333333333,36.2,77.92083333333333
1986,De 04/07 a 27/07,24,+ Prologue,4094.0,210,132,0.37,1484.32,24,4,16.666666666666664,37.0,61.846666666666664
1987,De 01/07 a 26/07,26,+ Prologue,4231.0,207,135,0.35,2170.7,26,10,38.46153846153847,36.6,83.48846153846154
1988,De 02/07 a 24/07,23,+ Prologue,3286.0,198,151,0.24,1629.8,23,8,34.78260869565217,38.9,70.86086956521739
1989,De 01/07 a 23/07,22,+ Prologue,3285.0,198,138,0.3,1727.98,22,9,40.909090909090914,37.5,78.54454545454546
1990,De 30/06 a 22/07,22,+ prologue,3504.0,198,156,0.21,1569.58,22,8,36.36363636363637,38.6,71.34454545454545
1991,De 06/07 a 28/07,23,+ Prologue,3914.0,198,158,0.2,1773.54,23,7,30.434782608695656,38.7,77.11043478260869
1992,De 04/07 a 26/07,22,+ Prologue,3983.0,198,130,0.34,1903.55,22,8,36.36363636363637,39.5,86.52499999999999
1993,De 03/07 a 25/07,21,+ Prologue,3714.0,180,136,0.24,1631.38,21,5,23.809523809523807,38.7,77.68476190476191
1994,De 02/07 a 24/07,22,+ Prologue,3978.0,189,117,0.38,1977.37,22,8,36.36363636363637,38.4,89.88045454545454
1995,De 01/07 a 23/07,21,+ Prologue,3635.0,189,115,0.39,1751.43,21,8,38.095238095238095,39.2,83.40142857142857
1996,De 29/06 a 21/07,22,+ Prologue,3765.0,197,129,0.35,1999.4399999999998,22,11,50.0,39.2,90.88363636363636
1997,De 05/07 a 27/07,22,+ Prologue,3950.0,198,139,0.3,1908.73,22,8,36.36363636363637,39.3,86.76045454545455
1998,De 11/07 a 02/08,22,+ Prologue,3875.0,189,96,0.49,1866.06,22,7,31.818181818181817,41.7,84.82090909090908
1999,De 03/07 a 25/07,21,+ Prologue,3687.0,180,141,0.22,1743.73,21,7,33.33333333333333,,83.03476190476191
2000,De 01/07 a 23/07,21,,3662.0,197,127,0.36,1742.05,21,7,33.33333333333333,,82.95476190476191
2001,De 07/07 a 29/07,21,+ Prologue,3458.0,189,144,0.24,1394.97,21,5,23.809523809523807,,66.42714285714285
2002,De 06/07 a 28/07,21,+ Prologue,3278.0,189,153,0.19,1634.1,21,7,33.33333333333333,,77.81428571428572
2003,De 05/07 a 27/07,21,+ Prologue,3427.0,198,147,0.26,1785.05,21,7,33.33333333333333,,85.00238095238095
2004,De 03/07 a 25/07,21,+ Prologue,3391.0,188,147,0.22,1635.91,21,7,33.33333333333333,,77.9004761904762
2005,De 02/07 a 24/07,21,,3359.0,189,155,0.18,1993.0,21,10,47.61904761904761,,94.9047619047619
2006,De 01/07 a 23/07,21,,3657.0,176,139,0.21,1855.31,21,8,38.095238095238095,40.8,88.34809523809524
2007,De 07/07 a 29/07,21,+ Prologue,3570.0,189,141,0.25,1667.74,21,6,28.57142857142857,39.2,79.41619047619048
2008,De 05/07 a 27/07,21,,3559.0,180,144,0.2,1848.55,21,9,42.857142857142854,40.5,88.02619047619048
2009,De 04/07 a 26/07,21,,3459.0,180,155,0.14,1833.3,21,8,38.095238095238095,40.3,87.3
2010,De 03/07 a 25/07,21,+ Prologue,3642.0,197,170,0.14,1984.04,21,9,42.857142857142854,39.6,94.47809523809524
2011,De 02/07 a 24/07,21,,3430.0,198,168,0.15,1804.15,21,9,42.857142857142854,39.8,85.91190476190476
2012,De 30/06 a 22/07,21,+ Prologue,3496.0,198,153,0.23,1828.3899999999999,21,9,42.857142857142854,39.9,87.06619047619047
2013,De 29/06 a 21/07,21,,3404.0,198,169,0.15,1978.75,21,10,47.61904761904761,40.6,94.22619047619048
2014,De 05/07 a 27/07,21,,3660.5,198,164,0.17,2024.5,21,11,52.38095238095239,40.7,96.4047619047619
2015,De 04/07 a 26/07,21,,3360.3,198,160,0.19,2121.13,21,13,61.904761904761905,39.6,101.00619047619048
