year,rank,rider_name,country,team,rider_total_time
1903,1,Maurice Garin,Francia,La Française,340394.0
1903,2,Lucien Pothier,Francia,La Française,351155.0
1903,3,Fernand Augereau,Francia,La Française,356558.0
1903,4,Rodolfo Muller,Italia,La Française,357164.0
1903,5,Jean Fischer,Francia,La Française,358318.0
1903,6,Marcel Kerff,Bélgica,,361538.0
1903,7,Julien Lootens,Bélgica,Brennabor,371062.0
1903,8,Georges Pasquier,Francia,La Française,377838.0
1903,9,François Beaugendre,Francia,,379528.0
1903,10,Aloïs Catteau,Bélgica,La Française,386291.0
1903,11,Jean Dargassies,Francia,Gladiator,390144.0
1903,12,Ferdinand Payan,Francia,Champeyrache,409336.0
1903,13,Julien Girbe,Francia,JC Cycles,424206.0
1903,14,Isidore Lechartier,Francia,Gladiator,427107.0
1903,15,Josef Fischer,Alemania,Diamant,431260.0
1903,16,Alexandre Foureaux,Francia,,455046.0
1903,17,René Salais,Francia,,457677.0
1903,18,Emile Moulin,Francia,,519388.0
1903,19,Georges Borot,Francia,,526252.0
1903,20,Pierre Desvages,Francia,,566828.0
1903,21,Arsène Millocheau,Francia,,574222.0
1904,1,Henri Cornet,Francia,,345955.0
1904,2,Jean-Baptiste Dortignacq,Francia,,354129.0
1904,3,Aloïs Catteau,Bélgica,,378440.0
1904,4,Jean Dargassies,Francia,,393025.0
1904,5,Julien Maitron,Francia,,414730.0
1904,6,Auguste Daumain,Francia,,427831.0
1904,7,Louis Coolsaet,Bélgica,,431415.0
1904,8,Achille Colas,Francia,,436545.0
1904,9,René Saget,Francia,,439271.0
1904,10,Gustave Drioul,Bélgica,,457244.0
1904,11,Henri Paret,Francia,,462274.0
1904,12,Auguste Gauthier,Francia,,465597.0
1904,13,Auguste Rist,Francia,,472035.0
1904,14,Damelincourt,Francia,,521098.0
1904,15,Antoine Deflotriere,Francia,,711287.0
1905,1,Louis Trousselier,Francia,Peugeot-Wolber,
1905,2,Hippolyte Aucouturier,Francia,Peugeot-Wolber,
1905,3,Jean-Baptiste Dortignacq,Francia,Saving,
1905,4,Emile Georget,Francia,JC Cycles,
1905,5,Lucien Petit-Breton,Francia,JC Cycles,
1905,6,Augustin Ringeval,Francia,JC Cycles,
1905,7,Paul Chauvet,Francia,Griffon,
1905,8,Philippe Pautrat,Francia,JC Cycles,
1905,9,Julien Maitron,Francia,Peugeot-Wolber/Griffon,
1905,10,Julien Gabory,Francia,JC Cycles,
1905,11,Alois Catteau,Bélgica,Catteau Cycles,
1905,12,Martin Soulie,Francia,JC Cycles,
1905,13,Léon Leygoute,Francia,Peugeot-Wolber,
1905,14,Camille Fily,Francia,Guerin Cycles,
1905,15,Antony Wattelier,Francia,Peugeot-Wolber,
1905,16,Henri Lignon,Francia,JC Cycles,
1905,17,Maurice Decaup,Francia,Alcyon-Dunlop,
1905,18,Maurice Carrere,Francia,Pirate-Michelin,
1905,19,Gustave Guillarme,Francia,Renault,
1905,20,Julien Lootens,Bélgica,JC Cycles,
1905,21,Pinchau,Francia,,
1905,22,Eugène Ventresque,Francia,Saving,
1905,23,Fernand Lallement,Francia,Peugeot-Wolber,
1905,24,Clovis Lacroix,Francia,Saving,
1906,1,René Pottier,Francia,Peugeot,
1906,2,Georges Passerieu,Francia,Peugeot,
1906,3,Louis Trousselier,Francia,Peugeot,
1906,4,Lucien Petit-Breton,Francia,Peugeot,
1906,5,Emile Georget,Francia,Alcyon–Dunlop,
1906,6,Aloïs Catteau,Bélgica,Alcyon–Dunlop,
1906,7,Édouard Wattelier,Francia,Labor,
1906,8,Léon Georget,Francia,Alcyon–Dunlop,
1906,9,Eugène Christophe,Francia,Labor,
1906,10,Anthony Wattelier,Francia,Alcyon–Dunlop,
1906,11,Georges Fleury,Francia,Rochet,
1906,12,Ferdinand Payan,Francia,Chapmeyrache/MIC Cycles,
1906,13,Léon Winant,Francia,,
1906,14,Georges Bronchard,Francia,Biguet,
1907,1,Lucien Petit-Breton,Francia,Peugeot-Wolber,
1907,2,Gustave Garrigou,Francia,Peugeot-Wolber,
1907,3,Emile Georget,Francia,Peugeot-Wolber,
1907,4,Georges Passerieu,Francia,Peugeot-Wolber,
1907,5,François Beaugendre,Francia,Peugeot-Wolber,
1907,6,Eberardo Pavesi,Italia,Otav,
1907,7,François Faber,Luxemburgo,Labor-Dunlop,
1907,8,Augustin Ringeval,Francia,Labor-Dunlop,
1907,9,Aloïs Catteau,Bélgica,,
1907,10,Ferdinand Payan,Francia,,
1907,11,Pierre-Gonzague Privat,Francia,,
1907,12,Georges Fleury,Francia,,
1907,13,François Lafourcade,Francia,Montabro,
1907,14,Marius Villette,Francia,,
1907,15,Alzir Vivier,Francia,,
1907,16,Gaston Tuvache,Francia,,
1907,17,Eugène Delhaye,Bélgica,,
1907,18,Baptiste Roux,Francia,,
1907,19,Philippe Pautrat,Francia,,
1907,20,Henri Timmermann,Bélgica,,
1907,21,Georges Bronchard,Francia,,
1907,22,Marceau Narcy,Francia,Biguet-Soly,
1907,23,Honoré Genin,Francia,Peugeot-Wolber,
1907,24,Antony Wattelier,Francia,Labor-Dunlop/Montabro,
1907,25,Albert Baudet,Francia,,
1907,26,Alfred Le Bars,Francia,Labor-Dunlop,
1907,27,Alfred Quenon,Francia,,
1907,28,Henri Lorillon,Francia,Touiller,
1907,29,René Fleury,Francia,,
1907,30,Octave Noël,Francia,Furor Cycles,
1907,31,Albert Géraud,Francia,JC Cycles,
1907,32,Marcel Dozol,Francia,,
1907,33,Albert Chartier,Francia,,
1908,1,Lucien Petit-Breton,Francia,Peugeot–Wolber,
1908,2,François Faber,Luxemburgo,Peugeot–Wolber,
1908,3,Georges Passerieu,Francia,Peugeot–Wolber,
1908,4,Gustave Garrigou,Francia,Peugeot–Wolber,
1908,5,Luigi Ganna,Italia,Alcyon–Dunlop,
1908,6,Georges Paulmier,Francia,Peugeot–Wolber,
1908,7,Georges Fleury,Francia,Peugeot–Wolber,
1908,8,Henri Cornet,Francia,Peugeot–Wolber,
1908,9,Marcel Godivier,Francia,Alcyon–Dunlop,
1908,10,Giovanni Rossignoli,Italia,Bianchi,
1908,11,Paul Duboc,Francia,Alcyon–Dunlop,
1908,12,Clemente Canepari,Italia,Alcyon–Dunlop,
1908,13,François Beaugendre,Francia,Peugeot–Wolber,
