year,date,stage,course,type,distance_in_km,winner_name,country,stage_workload
1903,1903-07-01,1,Paris to Lyon,Flat,467.0,Maurice Garin,Francia,93.4
1903,1903-07-05,2,Lyon to Marseille,Mountain,374.0,Hippolyte Aucouturier,Francia,374.0
1903,1903-07-08,3,Marseille to Toulouse,Flat,423.0,Hippolyte Aucouturier,Francia,84.60000000000001
1903,1903-07-12,4,Toulouse to Bordeaux,Flat,268.0,Charles Laeser,Suiza,53.6
1903,1903-07-13,5,Bordeaux to Nantes,Flat,425.0,Maurice Garin,Francia,85.0
1903,1903-07-18,6,Nantes to Paris,Flat,471.0,Maurice Garin,Francia,94.2
1904,1904-07-02,1,Montgeron to Lyon,Flat,467.0,Maurice Garin,Francia,93.4
1904,1904-07-09,2,Lyon to Marseille,Mountain,374.0,Hippolyte Aucouturier,Francia,374.0
1904,1904-07-13,3,Marseille to Toulouse,Flat,424.0,Hippolyte Aucouturier,Francia,84.80000000000001
1904,1904-07-17,4,Toulouse to Bordeaux,Flat,268.0,Lucien Pothier,Francia,53.6
1904,1904-07-20,5,Bordeaux to Nantes,Flat,425.0,Hippolyte Aucouturier,Francia,85.0
1904,1904-07-23,6,Nantes to Paris,Flat,471.0,Hippolyte Aucouturier,Francia,94.2
1905,1905-07-09,1,Paris to Nancy,Flat,340.0,Louis Trousselier,Francia,68.0
1905,1905-07-11,2,Nancy to Besançon,Mountain,299.0,Hippolyte Aucouturier,Francia,299.0
1905,1905-07-14,3,Besançon to Grenoble,Flat,327.0,Louis Trousselier,Francia,65.4
1905,1905-07-16,4,Grenoble to Toulon,Mountain,348.0,Hippolyte Aucouturier,Francia,348.0
1905,1905-07-18,5,Toulon to Nîmes,Flat,192.0,Louis Trousselier,Francia,38.400000000000006
1905,1905-07-20,6,Nîmes to Toulouse,Flat,307.0,Jean-Baptiste Dortignacq,Francia,61.400000000000006
1905,1905-07-22,7,Toulouse to Bordeaux,Flat,268.0,Louis Trousselier,Francia,53.6
1905,1905-07-24,8,Bordeaux to La Rochelle,Flat,257.0,Hippolyte Aucouturier,Francia,51.400000000000006
1905,1905-07-26,9,La Rochelle to Rennes,Flat,263.0,Louis Trousselier,Francia,52.6
1905,1905-07-28,10,Rennes to Caen,Flat,167.0,Jean-Baptiste Dortignacq,Francia,33.4
1905,1905-07-29,11,Caen to Paris,Flat,253.0,Jean-Baptiste Dortignacq,Francia,50.6
1906,1906-07-04,1,Paris to Lille,Flat,275.0,Emile Georget,Francia,55.0
1906,1906-07-06,2,Douai to Nancy,Flat,400.0,René Pottier,Francia,80.0
1906,1906-07-08,3,Nancy to Dijon,Mountain,416.0,René Pottier,Francia,416.0
1906,1906-07-10,4,Dijon to Grenoble,Flat,311.0,René Pottier,Francia,62.2
1906,1906-07-12,5,Grenoble to Nice,Mountain,345.0,René Pottier,Francia,345.0
1906,1906-07-14,6,Nice to Marseille,Flat,292.0,Georges Passerieu,Francia,58.400000000000006
1906,1906-07-16,7,Marseille to Toulouse,Flat,480.0,Louis Trousselier,Francia,96.0
1906,1906-07-18,8,Toulouse to Bayonne,Flat,300.0,Jean-Baptiste Dortignacq,Francia,60.0
1906,1906-07-20,9,Bayonne to Bordeaux,Flat,338.0,Louis Trousselier,Francia,67.60000000000001
1906,1906-07-22,10,Bordeaux to Nantes,Flat,391.0,Louis Trousselier,Francia,78.2
1906,1906-07-24,11,Nantes to Brest,Flat,321.0,Louis Trousselier,Francia,64.2
1906,1906-07-26,12,Brest to Caen,Flat,415.0,Georges Passerieu,Francia,83.0
1906,1906-07-29,13,Caen to Paris,Flat,259.0,René Pottier,Francia,51.800000000000004
1907,1907-07-08,1,Paris to Roubaix,Flat,272.0,Louis Trousselier,Francia,54.400000000000006
1907,1907-07-10,2,Roubaix to Metz,Flat,398.0,Emile Georget (FRA) Louis Trousselier,Francia,79.60000000000001
1907,1907-07-12,3,Metz to Belfort,Mountain,259.0,Emile Georget,Francia,259.0
1907,1907-07-14,4,Belfort to Lyon,Mountain,309.0,Marcel Cadolle,Francia,309.0
1907,1907-07-16,5,Lyon to Grenoble,Mountain,311.0,Emile Georget,Francia,311.0
1907,1907-07-18,6,Grenoble to Nice,Mountain,345.0,Georges Passerieu,Francia,345.0
1907,1907-07-20,7,Nice to Nîmes,Flat,345.0,Emile Georget,Francia,69.0
1907,1907-07-22,8,Nîmes to Toulouse,Flat,303.0,Emile Georget,Francia,60.6
1907,1907-07-24,9,Toulouse to Bayonne,Flat,299.0,Lucien Petit-Breton,Francia,59.800000000000004
1907,1907-07-26,10,Bayonne to Bordeaux,Flat,269.0,Gustave Garrigou,Francia,53.800000000000004
1907,1907-07-28,11,Bordeaux to Nantes,Flat,391.0,Lucien Petit-Breton,Francia,78.2
1907,1907-07-30,12,Nantes to Brest,Flat,321.0,Gustave Garrigou,Francia,64.2
1907,1907-08-01,13,Brest to Caen,Flat,415.0,Emile Georget,Francia,83.0
1907,1907-08-04,14,Caen to Paris,Flat,251.0,Georges Passerieu,Francia,50.2
1908,1908-07-13,1,Paris to Roubaix,Flat,272.0,Georges Passerieu,Francia,54.400000000000006
1908,1908-07-15,2,Roubaix to Metz,Flat,398.0,Lucien Petit-Breton,Francia,79.60000000000001
1908,1908-07-17,3,Metz to Belfort,Mountain,259.0,François Faber,Luxemburgo,259.0
1908,1908-07-19,4,Belfort to Lyon,Mountain,309.0,François Faber,Luxemburgo,309.0
1908,1908-07-21,5,Lyon to Grenoble,Mountain,311.0,Georges Passerieu,Francia,311.0
1908,1908-07-23,6,Grenoble to Nice,Mountain,345.0,Jean-Baptiste Dortignacq,Francia,345.0
1908,1908-07-25,7,Nice to Nîmes,Flat,354.0,Lucien Petit-Breton,Francia,70.8
1908,1908-07-27,8,Nîmes to Toulouse,Flat,303.0,François Faber,Luxemburgo,60.6
