year,dates,stages,stages_observations,distance_in_km,starters,finishers,abandon_rate
1903,De 01/07 a 19/07,6,,2428.0,60,21,0.65
1904,De 02/07 a 24/07,6,,2428.0,88,15,0.83
1905,De 09/07 a 30/07,11,,2994.0,60,24,0.6
1906,De 04/07 a 29/07,13,,4637.0,82,14,0.83
1907,De 08/07 a 04/08,14,,4488.0,93,33,0.65
1908,De 13/07 a 09/08,14,,4497.0,112,36,0.68
1909,De 05/07 a 01/08,14,,4498.0,150,55,0.63
1910,De 03/07 a 31/07,15,,4734.0,110,41,0.63
1911,De 02/07 a 30/07,15,,5343.0,84,28,0.67
1912,De 30/06 a 28/07,15,,5289.0,131,41,0.69
1913,De 29/06 a 27/07,15,,5287.0,140,25,0.82
1914,De 28/06 a 26/07,15,,5380.0,145,54,0.63
1919,De 29/06 a 27/07,15,,5560.0,69,10,0.86
1920,De 27/06 a 27/07,15,,5503.0,113,22,0.81
1921,De 26/06 a 24/07,15,,5485.0,123,38,0.69
1922,De 25/06 a 23/07,15,,5375.0,121,38,0.69
1923,De 24/06 a 22/07,15,,5386.0,139,48,0.65
1924,De 22/06 a 20/07,15,,5425.0,157,60,0.62
1925,De 21/06 a 19/07,18,,5440.0,130,49,0.62
1926,De 20/06 a 18/07,17,,5745.0,126,41,0.67
1927,De 19/06 a 17/07,24,,5398.0,142,39,0.73
1928,De 17/06 a 15/07,22,,5476.0,162,41,0.75
1929,De 30/06 a 28/07,22,,5286.0,155,60,0.61
1930,De 02/07 a 27/07,21,,4822.0,100,59,0.41
1931,De 30/06 a 26/07,24,,5091.0,81,35,0.57
1932,De 06/07 a 31/07,21,,4479.0,80,57,0.29
1933,De 27/06 a 23/07,23,,4395.0,80,40,0.5
1934,De 03/07 a 29/07,24,", including one split stage",4470.0,60,39,0.35
1935,De 04/07 a 28/07,27,", including six split stages",4338.0,93,46,0.51
1936,De 07/07 a 02/08,26,", including five split stages",4442.0,90,43,0.52
1937,De 30/06 a 25/07,28,", including eight split stages",4415.0,98,46,0.53
1938,De 05/07 a 31/07,26,", including five split stages",4694.0,96,55,0.43
1939,De 10/07 a 30/07,26,", including eight split stages",4224.0,79,49,0.38
1947,De 25/06 a 20/07,21,,4642.0,99,53,0.46
1948,De 30/06 a 25/07,21,,4922.0,120,44,0.63
1949,De 30/06 a 24/07,21,,4808.0,120,55,0.54
1950,De 13/07 a 07/08,22,,4773.0,116,51,0.56
1951,De 04/07 a 29/07,24,,4690.0,123,66,0.46
1952,De 25/06 a 19/07,23,,4898.0,122,78,0.36
1953,De 03/07 a 26/07,22,,4476.0,119,76,0.36
1954,De 08/07 a 01/08,23,,4656.0,110,69,0.37
1955,De 07/07 a 30/07,22,,4495.0,130,69,0.47
1956,De 05/07 a 28/07,22,,4498.0,120,88,0.27
1957,De 27/06 a 20/07,22,,4669.0,120,56,0.53
1958,De 26/06 a 19/07,24,,4319.0,120,78,0.35
1959,De 25/06 a 18/07,22,,4358.0,120,65,0.46
1960,De 26/06 a 17/07,22,", including one split stages",4173.0,128,81,0.37
1961,De 25/06 a 16/07,22,", including one split stage",4397.0,132,72,0.45
1962,De 24/06 a 15/07,24,", including two split stages",4274.0,149,94,0.37
1963,De 23/06 a 14/07,23,", including two split stages",4138.0,130,76,0.42
1964,De 22/06 a 14/07,25,", including three split stages",4504.0,132,81,0.39
1965,De 22/06 a 14/07,24,", including two split stages",4188.0,130,96,0.26
1966,De 21/06 a 14/07,25,", including three split stages",4329.0,130,82,0.37
1967,De 29/06 a 23/07,25,"+ Prologue, including two split stages",4779.0,130,88,0.32
1968,De 27/06 a 21/07,26,", including four split stages",4492.0,110,63,0.43
1969,De 28/06 a 20/07,26,"+ Prologue, including three split stages",4117.0,130,86,0.34
1970,De 27/06 a 19/07,29,"+ Prologue, including five split stages",4254.0,150,100,0.33
1971,De 26/06 a 18/07,24,"+ Prologue, including three split stages",3608.0,130,94,0.28
1972,De 01/07 a 22/07,25,"+ Prologue, including four split stages",3846.0,132,88,0.33
1973,De 30/06 a 22/07,27,"+ Prologue, including six split stages",4090.0,132,87,0.34
1974,De 27/06 a 21/07,27,"+ Prologue, including four split stages",4098.0,130,105,0.19
1975,De 26/06 a 20/07,25,"+ Prologue, including two split stages",4000.0,140,86,0.39
1976,De 24/06 a 18/07,26,"+ Prologue, including three split stages",4017.0,130,87,0.33
1977,De 30/06 a 24/07,28,"+ Prologue, including five split stages",4096.0,100,53,0.47
1978,De 29/06 a 23/07,25,"+ Prologue, including two split stages",3908.0,110,78,0.29
1979,De 27/06 a 22/07,25,+ Prologue,3765.0,150,89,0.41
1980,De 26/06 a 20/07,25,"+ Prologue, including two split stages",3842.0,130,85,0.35
1981,De 25/06 a 19/07,25,"+ Prologue, including two split stages",3753.0,150,121,0.19
1982,De 02/07 a 25/07,23,"+ Prologue, including one split stage",3507.0,169,125,0.26
1983,De 01/07 a 24/07,23,+ Prologue,3809.0,140,88,0.37
1984,De 29/06 a 22/07,24,+ Prologue,4021.0,170,124,0.27
1985,De 28/06 a 21/07,24,"+ Prologue, including one split stage",4109.0,180,144,0.2
1986,De 04/07 a 27/07,24,+ Prologue,4094.0,210,132,0.37
1987,De 01/07 a 26/07,26,+ Prologue,4231.0,207,135,0.35
1988,De 02/07 a 24/07,23,+ Prologue,3286.0,198,151,0.24
1989,De 01/07 a 23/07,22,+ Prologue,3285.0,198,138,0.3
1990,De 30/06 a 22/07,22,+ prologue,3504.0,198,156,0.21
1991,De 06/07 a 28/07,23,+ Prologue,3914.0,198,158,0.2
1992,De 04/07 a 26/07,22,+ Prologue,3983.0,198,130,0.34
1993,De 03/07 a 25/07,21,+ Prologue,3714.0,180,136,0.24
1994,De 02/07 a 24/07,22,+ Prologue,3978.0,189,117,0.38
1995,De 01/07 a 23/07,21,+ Prologue,3635.0,189,115,0.39
1996,De 29/06 a 21/07,22,+ Prologue,3765.0,197,129,0.35
1997,De 05/07 a 27/07,22,+ Prologue,3950.0,198,139,0.3
1998,De 11/07 a 02/08,22,+ Prologue,3875.0,189,96,0.49
1999,De 03/07 a 25/07,21,+ Prologue,3687.0,180,141,0.22
2000,De 01/07 a 23/07,21,,3662.0,197,127,0.36
2001,De 07/07 a 29/07,21,+ Prologue,3458.0,189,144,0.24
2002,De 06/07 a 28/07,21,+ Prologue,3278.0,189,153,0.19
2003,De 05/07 a 27/07,21,+ Prologue,3427.0,198,147,0.26
2004,De 03/07 a 25/07,21,+ Prologue,3391.0,188,147,0.22
2005,De 02/07 a 24/07,21,,3359.0,189,155,0.18
2006,De 01/07 a 23/07,21,,3657.0,176,139,0.21
2007,De 07/07 a 29/07,21,+ Prologue,3570.0,189,141,0.25
2008,De 05/07 a 27/07,21,,3559.0,180,144,0.2
2009,De 04/07 a 26/07,21,,3459.0,180,155,0.14
2010,De 03/07 a 25/07,21,+ Prologue,3642.0,197,170,0.14
2011,De 02/07 a 24/07,21,,3430.0,198,168,0.15
2012,De 30/06 a 22/07,21,+ Prologue,3496.0,198,153,0.23
2013,De 29/06 a 21/07,21,,3404.0,198,169,0.15
2014,De 05/07 a 27/07,21,,3660.5,198,164,0.17
2015,De 04/07 a 26/07,21,,3360.3,198,160,0.19
2016,De 02/07 a 24/07,21,,3529.0,198,174,0.12
2017,De 01/07 a 23/07,21,,3540.0,198,167,0.16
2018,De 07/07 a 29/07,21,,3349.0,176,145,0.18
2019,De 06/07 a 28/07,21,,3366.0,176,155,0.12
2020,De 29/08 a 20/09,21,,3484.0,176,146,0.17
2021,De 26/06 a 18/07,21,,3414.4,184,141,0.23
2022,De 01/07 a 24/07,21,,3328.0,176,135,0.23
2023,De 01/07 a 23/07,21,,3405.6,176,150,0.15
2024,De 29/06 a 21/07,21,,3498.0,176,141,0.2
2025,De 05/07 a 27/07,21,,3302.0,176,160,0.09
