year,stages won,stages led,avg speed,height,weight,born
1903,3,6,25.7,1.62,60.0,1871-03-03
1904,1,3,25.3,,,1884-08-04
1905,5,10,,,,1881-06-29
1906,5,12,,,,1879-06-05
1907,2,5,,,,1882-10-18
1908,5,13,,,,1882-10-18
1909,6,13,,1.78,88.0,1887-01-26
1910,4,3,,,,1887-10-24
1911,2,13,,,,1884-09-24
1912,3,13,,,,1888-07-14
1913,1,8,26.7,,,1889-10-08
1914,1,15,26.8,,,1889-10-08
1919,1,2,24.1,,,1886-03-14
1920,4,14,24.1,,,1889-10-08
1921,2,14,24.7,,,1888-03-18
1922,0,3,24.2,,,1886-03-14
1923,3,6,24.2,,,1889-01-22
1924,4,15,24.0,,,1894-08-01
1925,4,13,24.8,,,1894-08-01
1926,2,8,24.1,,,1892-09-11
1927,3,14,27.2,,,1899-11-04
1928,5,22,28.4,,,1899-11-04
1929,1,16,28.3,,,1896-12-27
1930,2,13,28.0,,,1904-02-27
1931,1,16,28.7,,,1904-01-15
1932,6,19,29.0,,,1904-02-27
1933,3,12,29.7,,,1907-06-08
1934,3,22,30.4,,,1904-01-15
1935,3,21,30.7,,,1912-08-10
1936,4,14,31.1,,,1909-08-27
1937,3,4,31.8,,,1911-01-16
1938,2,8,31.6,1.72,66.0,1914-07-18
1939,2,8,32.0,,,1909-08-27
1947,3,1,31.3,1.61,60.0,1921-06-10
1948,7,9,33.4,1.72,66.0,1914-07-18
1949,3,5,32.1,1.77,68.0,1919-09-15
1950,3,11,32.8,,,1919-07-24
1951,5,11,32.9,,,1925-03-21
1952,5,14,32.2,1.77,68.0,1919-09-15
1953,2,5,34.6,1.79,75.0,1925-03-12
1954,3,14,33.2,1.79,75.0,1925-03-12
1955,2,6,34.4,1.79,75.0,1925-03-12
1956,0,8,36.3,,,1927-03-02
1957,4,15,34.4,1.76,70.0,1934-01-08
1958,4,2,36.9,1.73,64.0,1932-12-08
1959,1,6,35.2,,,1928-07-09
1960,0,14,37.2,,,1930-03-01
1961,2,21,36.0,1.76,70.0,1934-01-08
1962,2,3,37.3,1.76,70.0,1934-01-08
1963,4,5,36.5,1.76,70.0,1934-01-08
1964,4,6,35.4,1.76,70.0,1934-01-08
1965,3,18,35.9,1.81,71.0,1942-09-29
1966,0,6,36.8,,,1941-04-28
1967,1,17,34.9,1.82,72.0,1940-08-28
1968,2,1,33.6,,,1940-05-19
1969,6,18,35.4,1.82,74.0,1945-06-17
1970,8,20,35.6,1.82,74.0,1945-06-17
1971,4,17,37.3,1.82,74.0,1945-06-17
1972,6,15,35.5,1.82,74.0,1945-06-17
1973,6,14,33.4,1.65,52.0,1945-06-09
1974,8,18,35.2,1.82,74.0,1945-06-17
1975,2,8,34.9,,,1948-01-10
1976,1,12,34.5,,58.0,1946-10-20
1977,1,8,35.4,,,1948-01-10
1978,3,3,36.1,1.74,62.0,1954-11-14
1979,7,17,36.5,1.74,62.0,1954-11-14
1980,2,10,35.1,1.73,68.0,1946-12-03
1981,5,18,39.0,1.74,62.0,1954-11-14
1982,4,12,38.1,1.74,62.0,1954-11-14
1983,1,6,36.2,1.74,67.0,1960-08-12
1984,5,7,35.9,1.74,67.0,1960-08-12
1985,2,16,36.2,1.74,62.0,1954-11-14
1986,1,7,37.0,1.78,67.0,1961-06-26
1987,1,3,36.6,1.75,74.0,1959-11-28
1988,1,11,38.9,1.71,64.0,1960-04-15
1989,3,8,37.5,1.78,67.0,1961-06-26
1990,0,2,38.6,1.78,67.0,1961-06-26
1991,2,10,38.7,1.86,80.0,1964-07-16
1992,3,10,39.5,1.86,80.0,1964-07-16
1993,2,14,38.7,1.86,80.0,1964-07-16
1994,1,13,38.4,1.86,80.0,1964-07-16
1995,2,13,39.2,1.86,80.0,1964-07-16
1996,2,13,39.2,1.84,71.0,1964-04-03
1997,2,12,39.3,1.83,73.0,1973-12-02
1998,2,7,41.7,1.72,57.0,1970-01-13
2006,0,8,40.8,1.77,68.0,1977-08-03
2007,1,4,39.2,1.76,62.0,1982-12-06
2008,1,5,40.5,1.73,60.0,1975-04-22
2009,2,7,40.3,1.76,62.0,1982-12-06
2010,2,12,39.6,1.86,68.0,1985-06-10
2011,1,2,39.8,1.74,64.0,1977-02-14
2012,2,14,39.9,1.9,69.0,1980-04-28
2013,3,14,40.6,1.86,69.0,1985-05-20
2014,4,19,40.7,1.8,65.0,1984-11-14
2015,1,16,39.6,1.86,69.0,1985-05-20
2016,2,14,39.6,1.86,69.0,1985-05-20
2017,0,15,41.0,1.86,69.0,1985-05-20
2018,2,11,40.2,1.83,71.0,1986-05-25
2019,0,2,40.6,1.75,60.0,1997-01-13
2020,3,,39.9,1.77,66.0,1998-09-21
2021,3,,41.2,1.77,66.0,1998-09-21
2022,2,,41.8,1.75,60.0,1996-12-10
2023,1,16,41.48,1.75,60.0,1996-12-10
2024,6,19,41.8,1.77,66.0,1998-09-21
2025,4,14,43.4,1.77,66.0,1998-09-21
